"Points:0","Points:1","Points:2","T","U:0","U:1","U:2"
0,0,0,0,1.2247,1.2247,0
5,0,0,0,1.2247,1.2247,0
10,0,0,0,1.2247,1.2247,0
15,0,0,0,1.2247,1.2247,0
20,0,0,0,1.2247,1.2247,0
25,0,0,0,1.2247,1.2247,0
30,0,0,0,1.2247,1.2247,0
35,0,0,0,1.2247,1.2247,0
40,0,0,0,1.2247,1.2247,0
45,0,0,0,1.2247,1.2247,0
50,0,0,0,1.2247,1.2247,0
55,0,0,0,1.2247,1.2247,0
60,0,0,0,1.2247,1.2247,0
65,0,0,0,1.2247,1.2247,0
70,0,0,0,1.2247,1.2247,0
75,0,0,0,1.2247,1.2247,0
80,0,0,0,1.2247,1.2247,0
85,0,0,7.0065e-45,1.2247,1.2247,0
90,0,0,-2.4943e-43,1.2247,1.2247,0
95,0,0,8.9473e-42,1.2247,1.2247,0
100,0,0,-3.0297e-40,1.2247,1.2247,0
105,0,0,9.6245e-39,1.2247,1.2247,0
110,0,0,-2.8372e-37,1.2247,1.2247,0
115,0,0,7.6514e-36,1.2247,1.2247,0
120,0,0,-1.8515e-34,1.2247,1.2247,0
125,0,0,3.9106e-33,1.2247,1.2247,0
130,0,0,-6.9144e-32,1.2247,1.2247,0
135,0,0,9.5359e-31,1.2247,1.2247,0
140,0,0,-8.8823e-30,1.2247,1.2247,0
145,0,0,1.2672e-29,1.2247,1.2247,0
150,0,0,1.4389e-28,1.2247,1.2247,0
155,0,0,2.4357e-28,1.2247,1.2247,0
160,0,0,1.8601e-28,1.2247,1.2247,0
165,0,0,7.9827e-29,1.2247,1.2247,0
170,0,0,1.9319e-29,1.2247,1.2247,0
175,0,0,3.783e-30,1.2247,1.2247,0
180,0,0,6.2294e-31,1.2247,1.2247,0
185,0,0,8.863e-32,1.2247,1.2247,0
190,0,0,1.1128e-32,1.2247,1.2247,0
195,0,0,1.2534e-33,1.2247,1.2247,0
200,0,0,1.283e-34,1.2247,1.2247,0
205,0,0,1.2059e-35,1.2247,1.2247,0
210,0,0,1.0495e-36,1.2247,1.2247,0
215,0,0,8.517e-38,1.2247,1.2247,0
220,0,0,6.4833e-39,1.2247,1.2247,0
225,0,0,4.6528e-40,1.2247,1.2247,0
230,0,0,3.162e-41,1.2247,1.2247,0
235,0,0,2.0431e-42,1.2247,1.2247,0
240,0,0,1.2612e-43,1.2247,1.2247,0
245,0,0,8.4078e-45,1.2247,1.2247,0
250,0,0,0,1.2247,1.2247,0
255,0,0,0,1.2247,1.2247,0
260,0,0,0,1.2247,1.2247,0
265,0,0,0,1.2247,1.2247,0
270,0,0,0,1.2247,1.2247,0
275,0,0,0,1.2247,1.2247,0
280,0,0,0,1.2247,1.2247,0
285,0,0,0,1.2247,1.2247,0
290,0,0,0,1.2247,1.2247,0
295,0,0,0,1.2247,1.2247,0
300,0,0,0,1.2247,1.2247,0
305,0,0,0,1.2247,1.2247,0
310,0,0,0,1.2247,1.2247,0
315,0,0,0,1.2247,1.2247,0
320,0,0,0,1.2247,1.2247,0
325,0,0,0,1.2247,1.2247,0
330,0,0,0,1.2247,1.2247,0
335,0,0,0,1.2247,1.2247,0
340,0,0,0,1.2247,1.2247,0
345,0,0,0,1.2247,1.2247,0
350,0,0,0,1.2247,1.2247,0
355,0,0,0,1.2247,1.2247,0
360,0,0,0,1.2247,1.2247,0
365,0,0,0,1.2247,1.2247,0
370,0,0,0,1.2247,1.2247,0
375,0,0,0,1.2247,1.2247,0
380,0,0,0,1.2247,1.2247,0
385,0,0,0,1.2247,1.2247,0
